ok;00:00:20.500;V
riprendiamo;00:00:21.500;V
la;00:00:21.890;RD
lezione;00:00:23.619;S
base;00:00:24.619;S
di;00:00:24.770;E
dati;00:00:24.770;S
vi;00:00:25.220;PC
sto;00:00:25.369;V
proiettando;00:00:26.270;V
il;00:00:26.930;RD
file;00:00:27.500;S
che;00:00:28.400;PR
molti;00:00:28.790;PI
di;00:00:28.790;E
voi;00:00:28.970;PE
hanno;00:00:29.210;VA
già;00:00:29.980;B
compilato;00:00:31.239;V
chiedo;00:00:32.239;V
a;00:00:32.270;E
chi;00:00:32.419;PR
non;00:00:32.419;BN
l'avesse;00:00:32.780;V
ancora;00:00:32.960;B
fatto;00:00:33.290;V
di;00:00:33.860;E
provvedere;00:00:34.809;V
per;00:00:34.809;E
consentirmi;00:00:36.470;V+PC
di;00:00:36.530;E
avere;00:00:36.860;V
l'elenco;00:00:37.160;S
degli;00:00:37.160;E+RD
iscritti;00:00:37.790;V
prima;00:00:38.390;B
che;00:00:38.720;CS
la;00:00:38.900;RD
segreteria;00:00:38.900;S
studenti;00:00:39.770;S
melo;00:00:40.670;S
mette;00:00:40.820;V
a;00:00:41.030;E
disposizione;00:00:42.400;S
al;00:00:42.400;E+RD
file;00:00:43.820;S
si;00:00:43.940;PC
arriva;00:00:44.420;V
mediante;00:00:45.350;E
un;00:00:45.470;RI
link;00:00:45.830;S
che;00:00:45.830;PR
pubblicato;00:00:46.820;V
sulla;00:00:47.660;E+RD
pagina;00:00:47.809;S
di;00:00:48.530;E
del;00:00:48.920;E+RD
corso;00:00:48.920;S
base;00:00:49.430;S
di;00:00:49.610;E
dati;00:00:49.879;S
sul;00:00:50.420;E+RD
mio;00:00:50.600;AP
sito;00:00:50.600;S
allora;00:00:53.830;B
la;00:00:54.830;RD
lezione;00:00:55.280;S
di;00:00:55.400;E
oggi;00:00:55.820;B
grazie;00:00:55.820;S
ecco;00:00:57.229;B
il;00:00:57.320;RD
foglio;00:00:57.710;S
che;00:00:58.449;PR
che;00:00:59.449;PR
cercavo;00:00:59.960;V
poco;00:01:00.260;B
fa;00:01:00.260;B
la;00:01:01.699;RD
lezione;00:01:01.850;S
di;00:01:02.239;E
oggi;00:01:02.600;B
è;00:01:02.900;V
sul;00:01:03.470;E+RD
modello;00:01:03.470;S
relazionale;00:01:04.220;A
ma;00:01:04.760;CC
prima;00:01:05.449;B
di;00:01:05.630;E
entrare;00:01:06.320;V
sul;00:01:06.320;E+RD
modello;00:01:06.740;V
relazionale;00:01:07.360;A
ricapitoliamo;00:01:07.360;S
brevemente;00:01:09.220;B
quello;00:01:10.220;PD
che;00:01:10.490;PR
abbiamo;00:01:10.580;VA
visto;00:01:10.580;V
nella;00:01:12.170;E+RD
lezione;00:01:12.320;S
di;00:01:12.740;E
ieri;00:01:12.920;B
e;00:01:13.790;CC
introduciamo;00:01:14.360;V
un;00:01:14.360;RI
altro;00:01:15.080;A
concetto;00:01:15.440;S
che;00:01:15.860;PR
ieri;00:01:16.220;B
non;00:01:16.370;BN
ho;00:01:16.540;VA
descritto;00:01:16.540;V
in;00:01:17.900;E
maniera;00:01:18.140;S
precisa;00:01:18.680;A
anziché;00:01:19.369;E
non;00:01:19.520;BN
ho;00:01:19.520;VA
abbiamo;00:01:21.170;VA
detto;00:01:22.240;V
il;00:01:23.240;RD
dbms;00:01:23.680;S
sono;00:01:24.680;V
gli;00:01:24.710;RD
strumenti;00:01:24.710;S
di;00:01:25.640;E
gestione;00:01:28.240;S
delle;00:01:29.240;E+RD
basi;00:01:29.540;S
di;00:01:29.660;E
dati;00:01:29.660;S
sono;00:01:35.440;V
dei;00:01:35.590;E+RD
prodotti;00:01:36.190;S
software;00:01:36.420;S
completi;00:01:36.420;A
complessi;00:01:38.640;A
che;00:01:39.640;CS
consentono;00:01:40.300;V
